DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,LEGS,DURATION,LANDINGS DAY,LANDINGS NIGHT,NIGHT,INSTRUMENT,APPROACHES & TYPE,CROSS COUNTRY,SECOND IN COMMAND,PILOT IN COMMAND,SIMULATED INSTRUMENT,INSTRUCTOR,DUAL,REMARKS,SIMULATOR,SOLO,FLIGHT COST,EXPENSES
1/30/1987,C152,6408H,CXO-CXO,1,0.5,1,,,,,,,,,,0.5,,,,,
4/29/1987,C172,97320,CXO-CXO,1,1,1,,,,,,,,,,1,,,,,
12/12/1987,C150,10002,CXO-CXO,1,1,1,,,,,,,,,,1,,,,,
11/12/1988,C150,10002,CXO-CXO,1,0.6,2,,,,,,,,,,0.6,,,,,
11/17/1988,C150,10002,CXO-CXO,1,1.1,3,,,,,,,,,,1.1,,,,,
9/9/1989,C150,10002,CXO-CXO,1,0.8,2,,,,,,,,,,0.8,,,,,
9/11/1989,C150,10002,CXO-CXO,1,0.7,1,,,,,,,,,,0.7,,,,,
9/18/1989,C150,10002,CXO-CXO,1,0.8,1,,,,,,,,,,0.8,,,,,
9/28/1989,C150,10002,CXO-CXO,1,0.7,3,,,,,,,,,,0.7,,,,,
9/29/1989,C150,10002,CXO-CXO,1,1,3,,,,,,,,,,1,,,,,
10/3/1989,C150,10002,CXO-CXO,1,0.6,5,,,,,,,,,,0.6,,,,,
10/4/1989,C150,10002,CXO-CXO,1,1,10,,,,,,,,,,1,,,,,
10/5/1989,C150,10002,CXO-CXO,1,0.9,8,,,,,,,,,,0.9,,,,,
10/13/1989,C150,10002,CXO-CXO,1,1.4,13,,,,,,,,,,1.4,,,,,
10/28/1989,C150,10002,CXO-CXO,1,0.8,2,,,,,,,,,,0.8,,,,,
12/2/1989,C150,10002,CXO-CXO,1,1,6,,,,,,,,,,1,,,,,
4/8/1990,C150,704VN,CXO-CXO,1,2,8,,,,,,,,,,2,,,,,
3/5/2002,C172,123LG,AXH-AXH,1,1.7,6,,,,,,,,,,1.7,,,,,
3/12/2002,C172,80300,AXH-LBX-AXH,1,1.7,6,,,,,,,,,,1.7,,,,,
4/2/2002,C152,64822,AXH-AXH,1,2,7,,,,,,,,,,2,,,,,
4/11/2002,C172,123LG,AXH-AXH,1,1.8,5,,,,,,,,,,1.8,,,,,
4/16/2002,C172,123LG,AXH-AXH,1,0.6,3,,,,,,,,,,0.6,,,,,
4/23/2002,C172,80300,AXH-AXH,1,1.1,3,,,,,,,,,,1.1,,,,,
4/24/2002,C172,80300,AXH-AXH,1,1.3,4,,,,,,,,,,1.3,,,,,
4/30/2002,C172,80300,AXH-AXH,1,1,6,,,,,,,,,,1,,,,,
5/3/2002,C172,80300,AXH-AXH,1,1.3,12,,,,,,,,,,1.3,,,,,
5/15/2002,C172,80300,AXH-AXH,1,1.8,7,,,,,,,,,,1.8,,,,,
5/25/2002,C172,80300,AXH-AXH,1,1.5,13,,,,,,,0.5,,,1.5,,,,,
6/27/2002,C172,80300,AXH-SGR-AXH,1,1.2,6,2,0.9,,,,,,,,1.2,,,,,
11/5/2002,C172,80300,AXH-AXH,1,1.2,6,1,0.4,,,,,,,,1.2,,,,,
11/6/2002,C172,80300,AXH-AXH,1,1.7,7,,,,,,,,,,1.7,,,,,
11/8/2002,C172,80300,AXH-AXH,1,1.7,5,,,,,,,0.4,,,1.7,,,,,
11/10/2002,C172,80300,AXH-PSX-AXH,1,1.8,2,,,,,1.8,,,,,1.8,,,,,
11/11/2002,C172,80300,AXH-CLL-AXH,1,1.2,2,,,,,1.2,,,,,1.2,,,,,
11/12/2002,C172,80300,AXH-AXH,1,0.7,1,,,,,,,0.7,,,,,,,,
11/25/2002,C172,80300,AXH-AXH,1,0.9,7,,,,,,,0.9,,,0.9,,,,,
12/2/2002,C172,80300,AXH-SGR-AXH,1,1.2,2,,1.2,,,,,,0.7,,1.2,,,,,
12/8/2002,C172,80300,AXH-VCT-AXH,1,2.5,2,1,2.5,,,2.5,,,,,2.5,,,,,
12/11/2002,C172,80300,AXH-AXH,1,1,9,,,,,,,1,,,,,,,,
12/15/2002,C172,80300,AXH-AXH,1,1.2,9,,,,,,,,,,1.2,,,,,
12/19/2002,C172,80300,AXH-AXH,1,1.9,5,,,,,,,,0.5,,1.9,,,,,
12/22/2002,C172,80300,AXH-11R-AXH,1,1.8,2,,,,,1.8,,1.8,,,,,,,,
12/26/2002,C172,80300,AXH-AXH,1,1.3,8,,,,,,,1.3,,,,,,,,
12/27/2002,C172,80300,AXH-AXH,1,1.4,1,,,,,,,,0.5,,1.4,,,,,
12/28/2002,C172,80300,AXH-11R-5R5-AXH,1,2.3,5,,,,,2.3,,2.3,,,,,,,,
1/6/2003,C172,80300,AXH-AXH,1,1.7,9,,,,,,,1.7,,,,,,,,
1/7/2003,C172,80300,AXH-AXH,1,1.6,11,,,,,,,1.6,,,,,,,,
1/11/2003,C172,80300,AXH-AXH,1,1.9,4,,,,,,,,0.7,,1.9,,,,,
1/12/2003,C172,80300,AXH-66R-AXH,1,1.6,2,,,,,1.6,,1.6,,,,,,,,
1/18/2003,C172,80300,AXH-AXH,1,0.9,5,,,,,,,,,,0.9,,,,,
1/20/2003,C172,80300,AXH-AXH,1,1.1,1,,,,,,,1.1,,,,,,,,
1/22/2003,C172,80300,AXH-AXH,1,0.3,3,,,,,,,0.3,,,,,,,,
1/24/2003,C172,80300,AXH-AXH,1,0.8,2,,,,,,,0.8,,,,,,,,
2/3/2003,C172,80300,AXH-11R-AXH,1,1.9,2,,,,,1.9,,1.9,,,,,,,,
2/10/2003,C172,80300,AXH-GLS-AXH,1,1.4,3,,,,,,,1.4,,,,,,,,
3/6/2003,C172,80300,AXH-VCT-AXH,1,2.5,3,3,2.5,,,2.5,,2.5,,,,,,,,
3/31/2003,C172,80300,AXH-BPT-AXH,1,2.5,1,1,1,,,2.5,,2.5,,,,,,,,
